
TABLESPACE_NAME               ,   USED_MB,   FREE_MB,  TOTAL_MB                                                                                                                                                                                                                                                                                                                                                                                                                                                     
FORPROJECT                    ,    449.31,     50.69,       500                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SYSAUX                        ,    509.69,     20.31,       530                                                                                                                                                                                                                                                                                                                                                                                                                                                     
SYSTEM                        ,    887.69,      2.31,       890                                                                                                                                                                                                                                                                                                                                                                                                                                                     
UNDOTBS1                      ,     22.75,     42.25,        65                                                                                                                                                                                                                                                                                                                                                                                                                                                     
USERS                         ,      2.69,      2.31,         5                                                                                                                                                                                                                                                                                                                                                                                                                                                     
